Tittle,Author,Narrated,Length,Release,Language
Pushing Up People,Art Williams,Max Culina,3 hrs and 56 mins,06-11-23,English
Lunamare,Pepper Winters,"Tor Thom, Fiona Clare",18 hrs and 11 mins,06-27-23,English
The Daddy Diaries,Andy Cohen,Andy Cohen,10 hrs and 32 mins,05-09-23,English
Losers: Part 1,Harley LaRoux,"Jaclyn Kelso, J. Tipstone",16 hrs and 1 min,06-06-23,English
The Wall of Winnipeg and Me,Mariana Zapata,"Stephen Dexter, Emma Wilder",17 hrs and 51 mins,07-04-23,English
The Unwanted Marriage,Catharina Maura,"John Lane, Angelina Rocca",11 hrs and 35 mins,05-16-23,English
Two Little Souls,B.R. Spangler,Patricia Rodriguez,7 hrs and 56 mins,07-06-23,English
Appointment in Bath,Mimi Matthews,Alex Wyndham,6 hrs and 52 mins,06-27-23,English
Cherish,Tracy Wolff,Heather Costa,17 hrs and 25 mins,05-30-23,English
Playground,Aron Beauregard,Lila Kerry,9 hrs and 56 mins,12-19-22,English
Obsessed,"James Patterson, James O. Born",Joshua Kane,7 hrs and 48 mins,07-10-23,English
Fast Like a Girl,Dr. Mindy Pelz,Dr. Mindy Pelz,8 hrs and 13 mins,12-27-22,English
Quick Confidence,Selena Rezvani,Selena Rezvani,6 hrs and 49 mins,07-04-23,English
Angel Abundance,Belinda J. Womack,Belinda J. Womack,8 hrs and 50 mins,07-11-23,English
Implacable,Jack Campbell,Christian Rummel,10 hrs and 25 mins,07-04-23,English
Until I Get You,Claire Contreras,"Joe Arden, Kasha Kensington",15 hrs and 12 mins,03-29-23,English
The Guilty One,Bill Schweigart,Matt Godfrey,9 hrs and 7 mins,03-21-23,English
The Covenant of Water,Abraham Verghese,Abraham Verghese,31 hrs and 16 mins,05-02-23,English
The American Story: The Beginnings,"David Barton, Tim Barton",Jonathan Alan,8 hrs and 52 mins,06-12-23,English
Truth to Power,André de Ruyter,Nicky Rebelo,13 hrs and 9 mins,07-01-23,English
True Conviction,James P. Sumner,Gary Bennett,9 hrs and 11 mins,02-16-23,English
The Wishing Game,Meg Shaffer,"Rachel L. Jacobs, Paul Boehmer",10 hrs and 38 mins,05-30-23,English
The Five-Star Weekend,Elin Hilderbrand,Erin Bennett,12 hrs and 45 mins,06-13-23,English
Dark Tide Rising,Jez Cajiao,Wayne Mitchell,21 hrs and 32 mins,07-04-23,English
Dark Healing Blind Curve,I. T. Lucas,Charles Lawrence,8 hrs and 9 mins,07-10-23,English
Sin and Soil 12,Anya Merchant,Eva Caine,9 hrs and 38 mins,07-03-23,English
On the Slayed Page,Jasmine Webb,Khristine Hvam,6 hrs and 1 min,06-07-23,English
Leviathan,Greig Beck,Sean Mangan,13 hrs and 51 mins,06-27-23,English
The Accidental Honeymoon,Portia MacIntosh,Karen Cass,7 hrs and 16 mins,07-03-23,English
Icebreaker,Hannah Grace,"Elizabeth Louise, Tim Paige",13 hrs and 23 mins,11-23-22,English
The Beast You Are,Paul Tremblay,"Johnny Heller, Xe Sands, Ewan Chung, Graham Halstead, Helen Laser, Jorjeana Marie, Joy Osmanski, Keith Sellon-Wright, Kirsten Potter, Neil Shah",11 hrs and 25 mins,07-11-23,English
Scattered Minds,Gabor Maté MD,Daniel Maté,10 hrs and 59 mins,02-07-23,English
The Cursed Among Us,John Durgin,Joe Hempel,6 hrs and 32 mins,02-09-23,English
Flop Dead Gorgeous,David Rosenfelt,Grover Gardner,6 hrs and 43 mins,07-04-23,English
Space Raiders,Ken Lozito,MacLeod Andrews,9 hrs and 15 mins,07-11-23,English
